adult,backdrop_path,genre_ids,id,Title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,query_year,Year_released,media_type,origin_country,original_name,first_air_date
False,/bUa4SvSt35pwvJJquRWUvIPS1UQ.jpg,"[28, 35, 878, 10402]",21538,The American Astronaut,en,The American Astronaut,"Samual Curtis's first mission in this bizarre science fiction musical comedy requires him to take a cat to a saloon on an asteroid. There, he meets his former dance partner (the Blueberry Pirate) and collects his payment: a device capable of producing a Real Live Girl. Including music by alternative rock group The Billy Nayer Show, this film began life as a live show with a loyal following.",1.2478,/qeh8Rzyr7VJaZWep7Vi5MP1e5hG.jpg,2001-01-20,False,False,6.797,58,2001,2001,film,,,
False,/h1CFnmcYd1tJ78Hzy0Rgzk0F2zJ.jpg,"[878, 27, 28]",110004,New Alcatraz,en,New Alcatraz,"Paleontologist Robert Trenton is called to Northeastern Antarctica near the Indian Ocean to help the FBI build an underground maximum-security military base and prison for the world's most dangerous criminals and terrorists, which is dubbed ""New Alcatrax"" by the staff. While building the prison, the staff accidentally awaken and unleash a prehistoric Boa Constrictor from its 200 year hibernation.",1.2662,/KV8f6SYBXGo2G5L82FyYJunhl2.jpg,2001-12-07,False,False,3.9,51,2001,2001,film,,,
False,/vYpsJcW9bFSVd9U8ITfIOimWLgr.jpg,[878],26446,Xchange,en,Xchange,"In the near future, a company called Xchange owns a mind transference technology that enables instantaneous travel by swapping bodies with someone at the destination. A member of the privileged corporate class (""Corpie"") Xchanging for the first time unwittingly switches bodies with a terrorist. Forced to hide in a limited life span cloned body with just 2 days remaining, he races against time to stop the terrorist and regain his body.",1.1537,/awEsQWTKi0yTfzFjrNPH4BDzn7X.jpg,2001-01-19,False,False,5.232,69,2001,2001,film,,,
False,/7RIzZ8QisnJiYUodS1F8iUpWA68.jpg,"[14, 16, 878]",25078,Cat Soup,ja,ねこぢる草,"The surreal black comedy follows Nyatta, an anthropomorphic kitten, on his travel to the land of the dead and back in an effort to save his sister's soul.",1.5537,/85c6VTiUOtizQBoT9ekBBlUz3zc.jpg,2001-02-21,False,False,7.135,171,2001,2001,film,,,
False,/zru7JSKyWSwhT1ZmR021AiX4yvU.jpg,"[10751, 10770, 12, 35, 878]",29742,Zenon: The Zequel,en,Zenon: The Zequel,Zenon Kar is 15 and lives on a space station which the military has taken over and is dismantling. She receives a mysterious signal and must convince everyone that it's from aliens who have come to help them.,1.1909,/ferJbm4T34YoVzfuSOKeUoI4cOF.jpg,2001-01-12,False,False,5.6,111,2001,2001,film,,,
False,/vG9KU8pJSYnNVDGikaaXUSpz49I.jpg,"[878, 28, 10402]",27245,Electric Dragon 80000V,ja,エレクトリック·ドラゴン 80000V,"A violent, guitar-playing, electrically charged boxer faces off against an electronic wizard half-merged with a metallic Buddha.",1.0881,/t3smBnPMubO1Ket7KjpRtxwxlSt.jpg,2001-02-08,False,False,6.8,77,2001,2001,film,,,
False,/8jr3FUdYRgmglJu4YJzWj0PZeIt.jpg,"[27, 878]",40040,Spiders II: Breeding Ground,en,Spiders II: Breeding Ground,"Happy couple Jason and Alexandra lose their sail yacht in a storm and are grateful to get picked up by Captain Jim Bigelow's commercial carrier. Suspicious about the ship's doctor and realizing the ship is improbably empty and the radio not broken as the crew claims, Jason starts snooping around.  Bodies on meat-hooks, genetic experimentation and giant spiders are what he finds.",1.2218,/xAgJTqKimQ2wCxKvYpHNLwt3MYs.jpg,2001-05-09,False,False,4.67,56,2001,2001,film,,,
False,/4fDriPY4WaWKMqzHZipOCsWNOUt.jpg,"[28, 53, 80, 878]",74236,RoboCop: Prime Directives,en,RoboCop: Prime Directives,"Thirteen years after the original Robocop, Delta City, considered to be ""The Safest Place On Earth!"", has become a futuristic city owned and operated by OCP, and RoboCop, Alex Murphy has begun to feel his age. Murphy finds himself nearly obsolete, and must deal with the fact that his now-grown son James is an OCP executive, unaware that his father is still alive. Also, Murphy's former partner, John Cable, has returned to Delta City as its new Security Commander. But slowly, new enemies arise, and Murphy and Cable begin an investigation into a mysterious villain known as the Bone Machine, unaware that they are coming dangerously close to exposing an evil group of OCP executives known as The Trust... which James Murphy is a part of. Desperate to prevent their sinister plans from being revealed, The Trust programs Murphy to kill John Cable...",1.1672,/z5SU0GNhcIVPYaahJtqKzKqAb6T.jpg,2001-01-04,False,False,4.7,53,2001,2001,film,,,
False,/kGRRaYAuhIMmNM2l5c0GUGztXmD.jpg,[878],2191,Stranded,en,Stranded,"A team of astronauts on the first mission to Mars crashes onto the surface, losing contact with Earth. With no other recourse, and help millions of miles away, the crew is forced to make desperate choices in order to stay alive. Will they be able to survive as the minutes slip away?",0.9628,/trYNLH02gy6j4O9KXYW8awtXJgv.jpg,2001-09-24,False,False,5.47,50,2001,2001,film,,,
False,/3oS3h14rd7NjjkNcBydVIzrQuYm.jpg,"[35, 27, 878]",18841,The Lost Skeleton of Cadavra,en,The Lost Skeleton of Cadavra,"A dedicated scientist, aided by his clueless wife, rolls up his shirt sleeves and tries to save the world from a radioactive monster, curious space aliens, an evil scientist and a crabby skeleton.",0.8053,/nGUjqu7DotLx6yfakAeqaj8D1FO.jpg,2001-09-12,False,False,6.283,89,2001,2001,film,,,
