year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi & Fantasy,Science Fiction,TV Movie,Thriller,War,Western,Other,decade
1950,1.694915254237288,5.649717514124294,7.344632768361582,14.124293785310735,12.994350282485875,0.5649717514124294,21.468926553672315,2.824858757062147,2.2598870056497176,1.1299435028248588,0.0,3.389830508474576,1.694915254237288,9.03954802259887,0.0,1.1299435028248588,0.0,7.909604519774012,1.1299435028248588,5.649717514124294,0.0,1950
1951,3.592814371257485,2.3952095808383236,4.191616766467066,14.37125748502994,7.18562874251497,1.1976047904191618,23.353293413173652,1.1976047904191618,2.9940119760479043,2.3952095808383236,1.7964071856287425,2.9940119760479043,1.1976047904191618,9.580838323353294,0.0,4.191616766467066,0.0,8.982035928143713,4.790419161676647,3.592814371257485,0.0,1950
1952,0.5988023952095809,9.580838323353294,7.18562874251497,21.55688622754491,4.790419161676647,0.0,19.16167664670659,2.3952095808383236,1.1976047904191618,1.7964071856287425,0.5988023952095809,2.9940119760479043,1.1976047904191618,14.37125748502994,0.5988023952095809,1.1976047904191618,0.0,4.790419161676647,1.7964071856287425,3.592814371257485,0.5988023952095809,1950
1953,1.477832512315271,3.9408866995073892,6.403940886699508,16.25615763546798,7.8817733990147785,0.9852216748768473,19.704433497536947,2.955665024630542,1.9704433497536946,2.4630541871921183,3.9408866995073892,3.4482758620689653,1.477832512315271,11.822660098522167,0.0,4.433497536945813,0.0,5.911330049261084,2.4630541871921183,2.4630541871921183,0.0,1950
1954,4.081632653061225,8.673469387755102,2.5510204081632653,11.73469387755102,5.612244897959184,0.0,25.510204081632654,1.0204081632653061,2.5510204081632653,2.0408163265306123,3.571428571428571,3.061224489795918,2.0408163265306123,12.755102040816327,0.0,3.061224489795918,0.0,5.1020408163265305,2.0408163265306123,4.591836734693878,0.0,1950
1955,2.6200873362445414,4.8034934497816595,2.6200873362445414,11.790393013100436,9.170305676855897,0.43668122270742354,22.707423580786028,2.1834061135371177,0.8733624454148471,3.4934497816593884,4.366812227074235,3.056768558951965,3.056768558951965,11.790393013100436,0.0,3.4934497816593884,0.0,4.8034934497816595,3.056768558951965,5.676855895196507,0.0,1950
1956,1.3392857142857142,5.803571428571429,1.3392857142857142,7.5892857142857135,4.910714285714286,0.8928571428571428,26.785714285714285,1.7857142857142856,1.7857142857142856,4.910714285714286,5.357142857142857,2.232142857142857,1.7857142857142856,11.160714285714286,0.0,6.25,0.0,6.25,4.464285714285714,5.357142857142857,0.0,1950
1957,0.9900990099009901,3.4653465346534658,2.4752475247524752,10.396039603960396,2.9702970297029703,0.0,24.257425742574256,2.4752475247524752,2.9702970297029703,2.4752475247524752,7.920792079207921,3.4653465346534658,2.4752475247524752,10.891089108910892,0.0,7.425742574257425,0.0,3.4653465346534658,5.9405940594059405,5.9405940594059405,0.0,1950
1958,4.0358744394618835,4.484304932735426,3.1390134529147984,10.762331838565023,6.726457399103139,0.8968609865470852,20.62780269058296,3.587443946188341,1.7937219730941705,2.690582959641256,7.623318385650224,2.242152466367713,1.345291479820628,8.520179372197308,0.4484304932735426,6.726457399103139,0.0,4.0358744394618835,4.932735426008969,5.381165919282512,0.0,1950
1959,2.2813688212927756,5.7034220532319395,1.9011406844106464,9.505703422053232,6.4638783269961975,0.38022813688212925,19.011406844106464,4.562737642585551,2.6615969581749046,4.562737642585551,8.365019011406844,0.0,4.182509505703422,8.365019011406844,0.38022813688212925,6.4638783269961975,0.0,5.323193916349809,5.7034220532319395,4.182509505703422,0.0,1950
1960,0.8333333333333334,4.583333333333333,0.8333333333333334,16.25,7.5,0.0,22.5,2.9166666666666665,3.75,2.083333333333333,7.916666666666666,1.6666666666666667,2.5,10.0,0.0,3.75,0.4166666666666667,5.833333333333333,2.9166666666666665,3.3333333333333335,0.4166666666666667,1960
1961,2.232142857142857,5.357142857142857,2.232142857142857,16.071428571428573,5.357142857142857,0.4464285714285714,21.875,4.464285714285714,4.017857142857143,3.125,6.25,1.3392857142857142,3.571428571428571,9.375,0.4464285714285714,4.464285714285714,0.0,4.464285714285714,2.232142857142857,2.6785714285714284,0.0,1960
1962,4.3478260869565215,6.521739130434782,1.4492753623188406,12.318840579710146,5.072463768115942,0.36231884057971014,25.36231884057971,3.6231884057971016,2.536231884057971,3.6231884057971016,6.159420289855073,1.8115942028985508,3.6231884057971016,7.246376811594203,0.0,3.6231884057971016,0.36231884057971014,5.434782608695652,4.3478260869565215,1.8115942028985508,0.36231884057971014,1960
1963,3.169014084507042,5.28169014084507,1.4084507042253522,18.661971830985916,4.929577464788732,0.7042253521126761,19.718309859154928,2.8169014084507045,3.5211267605633805,3.169014084507042,8.098591549295776,1.4084507042253522,5.28169014084507,7.394366197183098,0.7042253521126761,3.873239436619718,0.0,5.985915492957746,2.112676056338028,1.4084507042253522,0.35211267605633806,1960
1964,4.336043360433604,6.504065040650407,1.6260162601626018,16.802168021680217,5.691056910569105,0.8130081300813009,18.69918699186992,4.0650406504065035,2.168021680216802,1.6260162601626018,6.504065040650407,1.3550135501355014,3.523035230352303,8.401084010840108,1.084010840108401,2.9810298102981028,0.5420054200542005,6.233062330623306,3.7940379403794036,2.710027100271003,0.5420054200542005,1960
1965,5.730659025787966,6.303724928366762,2.865329512893983,12.893982808022923,4.297994269340974,0.8595988538681949,17.765042979942695,4.011461318051576,2.292263610315186,2.865329512893983,6.017191977077363,1.146131805157593,3.4383954154727796,6.303724928366762,1.4326647564469914,3.7249283667621778,0.28653295128939826,6.59025787965616,5.730659025787966,5.157593123209169,0.28653295128939826,1960
1966,8.493150684931507,5.205479452054795,1.9178082191780823,13.424657534246576,5.205479452054795,0.547945205479452,17.534246575342465,3.287671232876712,2.4657534246575343,4.383561643835616,4.931506849315069,1.36986301369863,3.5616438356164384,5.7534246575342465,1.9178082191780823,3.8356164383561646,0.547945205479452,4.657534246575342,5.47945205479452,5.205479452054795,0.273972602739726,1960
1967,6.725146198830409,4.678362573099415,3.508771929824561,12.865497076023392,6.725146198830409,1.1695906432748537,17.83625730994152,4.093567251461988,2.923976608187134,2.923976608187134,5.847953216374268,1.461988304093567,3.216374269005848,7.017543859649122,2.046783625730994,3.508771929824561,0.29239766081871343,6.432748538011696,2.3391812865497075,4.385964912280701,0.0,1960
1968,5.044510385756676,7.418397626112759,2.967359050445104,13.94658753709199,5.637982195845697,0.8902077151335311,19.881305637982198,4.747774480712167,2.3738872403560833,1.7804154302670623,5.341246290801187,2.0771513353115725,2.967359050445104,5.044510385756676,0.2967359050445104,3.857566765578635,0.8902077151335311,5.934718100890208,2.967359050445104,5.637982195845697,0.2967359050445104,1960
1969,4.105571847507331,5.865102639296188,3.812316715542522,13.196480938416421,5.278592375366569,0.8797653958944283,22.87390029325513,5.278592375366569,2.0527859237536656,3.519061583577713,5.278592375366569,1.1730205278592376,1.7595307917888565,5.571847507331378,0.2932551319648094,3.225806451612903,0.8797653958944283,6.158357771260997,3.225806451612903,5.571847507331378,0.0,1960
1970,4.132231404958678,6.0606060606060606,2.203856749311295,12.947658402203857,7.43801652892562,1.3774104683195594,20.385674931129476,3.3057851239669422,2.7548209366391188,2.479338842975207,6.887052341597796,2.203856749311295,3.581267217630854,4.40771349862259,0.5509641873278237,2.479338842975207,0.5509641873278237,7.7134986225895315,3.8567493112947657,4.683195592286501,0.0,1970
1971,6.775700934579438,2.570093457943925,1.8691588785046727,12.149532710280374,7.476635514018691,0.46728971962616817,20.327102803738317,2.803738317757009,1.8691588785046727,2.803738317757009,10.046728971962617,0.46728971962616817,5.373831775700935,4.205607476635514,0.46728971962616817,2.803738317757009,0.9345794392523363,9.579439252336448,2.570093457943925,4.439252336448598,0.0,1970
1972,7.945736434108527,4.457364341085271,2.3255813953488373,11.434108527131782,6.782945736434108,0.5813953488372093,19.961240310077518,2.9069767441860463,1.937984496124031,1.744186046511628,11.046511627906977,1.3565891472868217,5.62015503875969,3.10077519379845,0.5813953488372093,2.131782945736434,1.1627906976744187,9.689922480620156,1.3565891472868217,3.488372093023256,0.3875968992248062,1970
1973,9.069767441860465,4.651162790697675,2.3255813953488373,10.930232558139535,11.395348837209303,0.46511627906976744,21.627906976744185,3.488372093023256,1.8604651162790697,1.3953488372093024,8.13953488372093,0.6976744186046512,3.488372093023256,2.7906976744186047,0.6976744186046512,3.953488372093023,0.9302325581395349,9.069767441860465,0.9302325581395349,1.8604651162790697,0.23255813953488372,1970
1974,9.911894273127754,3.7444933920704844,2.2026431718061676,11.674008810572687,9.47136563876652,1.1013215859030838,21.145374449339208,3.524229074889868,2.4229074889867843,1.3215859030837005,8.149779735682818,0.6607929515418502,3.524229074889868,5.066079295154185,1.1013215859030838,2.8634361233480177,1.762114537444934,8.590308370044053,1.3215859030837005,0.4405286343612335,0.0,1970
1975,8.505747126436782,5.057471264367816,3.218390804597701,13.793103448275861,7.126436781609195,0.6896551724137931,17.47126436781609,3.67816091954023,1.6091954022988506,3.9080459770114944,6.206896551724138,0.6896551724137931,4.827586206896552,4.137931034482759,1.3793103448275863,2.9885057471264367,1.1494252873563218,8.96551724137931,2.0689655172413794,2.0689655172413794,0.45977011494252873,1970
1976,8.780487804878048,3.1707317073170733,1.707317073170732,13.902439024390246,7.560975609756097,0.24390243902439024,20.73170731707317,3.902439024390244,2.9268292682926833,2.4390243902439024,6.585365853658537,1.2195121951219512,4.146341463414634,4.146341463414634,0.24390243902439024,1.707317073170732,1.951219512195122,10.24390243902439,2.4390243902439024,1.951219512195122,0.0,1970
1977,7.317073170731707,6.430155210643015,2.6607538802660753,13.303769401330376,4.434589800443459,1.7738359201773837,19.290465631929045,3.7694013303769403,3.325942350332594,1.5521064301552108,9.977827050997783,1.3303769401330376,2.882483370288248,3.9911308203991127,0.6651884700665188,4.878048780487805,1.7738359201773837,7.317073170731707,2.882483370288248,0.22172949002217296,0.22172949002217296,1970
1978,8.715596330275229,5.963302752293578,3.211009174311927,16.055045871559635,5.045871559633028,1.146788990825688,16.743119266055047,3.89908256880734,2.7522935779816518,0.45871559633027525,7.339449541284404,2.064220183486239,3.669724770642202,4.81651376146789,2.293577981651376,6.192660550458716,1.3761467889908259,5.5045871559633035,1.6055045871559634,0.9174311926605505,0.22935779816513763,1970
1979,7.872340425531915,5.531914893617021,4.8936170212765955,16.170212765957448,4.680851063829787,0.2127659574468085,18.72340425531915,4.468085106382979,1.9148936170212765,0.851063829787234,5.957446808510639,1.4893617021276597,3.6170212765957444,5.106382978723404,0.851063829787234,5.106382978723404,2.9787234042553195,6.170212765957447,2.3404255319148937,1.0638297872340425,0.0,1970
1980,9.14179104477612,6.343283582089552,2.6119402985074625,15.298507462686567,6.156716417910448,0.7462686567164178,13.805970149253731,3.544776119402985,3.171641791044776,1.4925373134328357,9.514925373134329,1.4925373134328357,5.037313432835821,3.544776119402985,0.5597014925373134,5.970149253731343,1.4925373134328357,7.649253731343284,1.4925373134328357,0.9328358208955223,0.0,1980
1981,7.307692307692308,5.1923076923076925,4.230769230769231,15.384615384615385,6.730769230769231,0.7692307692307693,15.0,3.8461538461538463,2.1153846153846154,1.9230769230769231,11.346153846153847,1.3461538461538463,2.307692307692308,5.384615384615385,0.9615384615384616,3.8461538461538463,0.9615384615384616,8.846153846153847,1.3461538461538463,0.7692307692307693,0.38461538461538464,1980
1982,7.721280602636535,5.4613935969868175,3.0131826741996233,18.07909604519774,4.8964218455743875,0.5649717514124294,16.38418079096045,3.0131826741996233,3.5781544256120528,1.5065913370998116,9.416195856873824,1.8832391713747645,3.766478342749529,5.4613935969868175,1.1299435028248588,5.084745762711865,0.9416195856873822,6.591337099811676,0.7532956685499058,0.5649717514124294,0.18832391713747645,1980
1983,9.68280467445743,5.509181969949917,3.5058430717863103,18.363939899833053,6.844741235392321,0.8347245409015025,15.025041736227045,3.5058430717863103,3.33889816360601,1.1686143572621035,6.176961602671119,2.1702838063439067,2.8380634390651087,5.843071786310518,1.1686143572621035,5.008347245409015,1.335559265442404,5.843071786310518,1.335559265442404,0.1669449081803005,0.333889816360601,1980
1984,8.415841584158416,4.9504950495049505,2.9702970297029703,16.33663366336634,5.445544554455446,1.155115511551155,16.5016501650165,4.9504950495049505,4.125412541254125,1.155115511551155,4.785478547854786,1.8151815181518154,2.31023102310231,7.095709570957095,1.65016501650165,6.105610561056106,0.825082508250825,6.765676567656766,1.9801980198019802,0.33003300330033003,0.33003300330033003,1980
1985,9.35754189944134,7.12290502793296,4.050279329608938,17.59776536312849,5.726256983240224,0.6983240223463687,14.804469273743019,5.865921787709497,4.189944134078212,1.3966480446927374,5.726256983240224,0.8379888268156425,2.9329608938547485,5.58659217877095,1.3966480446927374,4.329608938547486,0.8379888268156425,5.58659217877095,1.2569832402234637,0.41899441340782123,0.27932960893854747,1980
1986,10.142857142857142,5.571428571428571,4.142857142857142,16.57142857142857,6.714285714285714,0.14285714285714285,16.57142857142857,4.571428571428571,3.1428571428571432,0.5714285714285714,6.714285714285714,1.1428571428571428,2.857142857142857,5.428571428571429,0.8571428571428572,4.571428571428571,1.1428571428571428,6.571428571428571,1.8571428571428572,0.2857142857142857,0.42857142857142855,1980
1987,9.293193717277488,4.057591623036649,3.2722513089005236,17.015706806282722,6.020942408376963,0.3926701570680628,15.44502617801047,3.5340314136125657,5.104712041884817,1.3089005235602094,8.37696335078534,1.7015706806282722,2.6178010471204187,5.366492146596859,1.1780104712041886,4.5811518324607325,1.1780104712041886,7.068062827225131,1.4397905759162304,0.6544502617801047,0.3926701570680628,1980
1988,7.6923076923076925,3.1746031746031744,3.5409035409035408,15.75091575091575,7.0818070818070815,0.9768009768009768,15.506715506715507,3.5409035409035408,4.151404151404151,0.8547008547008548,9.645909645909647,1.7094017094017095,3.296703296703297,6.471306471306472,0.8547008547008548,4.273504273504273,0.7326007326007326,7.448107448107448,2.0757020757020754,0.6105006105006106,0.6105006105006104,1980
1989,9.256844850065189,3.780964797913951,3.5202086049543677,17.209908735332462,7.170795306388526,0.3911342894393742,16.427640156453716,3.5202086049543677,3.389830508474576,1.8252933507170794,7.431551499348108,0.7822685788787485,1.8252933507170794,5.084745762711865,1.1734028683181226,4.69361147327249,2.216427640156454,8.083441981747066,1.564537157757497,0.1303780964797914,0.5215123859191656,1980
1990,9.487179487179487,4.102564102564102,3.4615384615384617,16.153846153846153,7.435897435897436,0.641025641025641,16.025641025641026,4.871794871794872,3.3333333333333335,1.282051282051282,7.948717948717948,0.5128205128205128,2.1794871794871793,5.897435897435897,0.7692307692307693,4.743589743589744,1.4102564102564104,8.205128205128204,1.0256410256410255,0.38461538461538464,0.1282051282051282,1990
1991,9.541511771995044,4.337050805452292,3.469640644361834,17.59603469640644,5.947955390334572,0.8674101610904585,17.100371747211895,4.4609665427509295,4.4609665427509295,0.8674101610904585,4.83271375464684,1.486988847583643,2.973977695167286,6.939281288723668,0.8674101610904585,4.4609665427509295,1.858736059479554,6.691449814126393,0.6195786864931847,0.37174721189591076,0.24783147459727387,1990
1992,9.05511811023622,3.805774278215223,4.0682414698162725,17.191601049868765,6.692913385826772,1.0498687664041995,18.241469816272964,4.0682414698162725,2.7559055118110236,1.3123359580052494,5.380577427821522,0.7874015748031495,2.3622047244094486,7.480314960629922,0.9186351706036745,3.2808398950131235,1.4435695538057742,8.398950131233596,0.7874015748031495,0.39370078740157477,0.5249343832020997,1990
1993,10.760869565217392,3.5869565217391304,4.021739130434782,16.52173913043478,6.630434782608696,0.5434782608695652,17.282608695652176,5.978260869565218,2.8260869565217392,2.282608695652174,3.5869565217391304,0.9782608695652175,2.391304347826087,5.760869565217392,1.3043478260869565,3.804347826086957,1.956521739130435,7.391304347826087,0.8695652173913043,0.9782608695652175,0.5434782608695652,1990
