adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,query_year
False,/s5Dz4TsaW5jyLw5GS73jgqgwHsZ.jpg,"[878, 53, 9648]",426865,UFO,en,UFO,"A college student, who sees a UFO, uses his exceptional math skills to investigate the sighting with his friends while the FBI follows closely behind.",2.2886,/jdy1GTdaAXqhsCVOpIXokifYdCh.jpg,2018-09-27,False,False,6.899,450,2018
False,/yv7jikZJrSa6MbogIns6m1sYwUC.jpg,"[16, 878]",492719,Godzilla: City on the Edge of Battle,ja,GODZILLA 決戦機動増殖都市,"Humanity's desperate battle to reclaim the Earth from Godzilla continues. The key to defeating the King of the Monsters may be Mechagodzilla, a robotic weapon thought to have been lost nearly 20,000 years ago.",2.5526,/2ly3TlqtlKzuhCmMuvAlXZA46e9.jpg,2018-05-18,False,False,6.568,403,2018
False,/qZkJFagYiIIsZNXhMCMGKMsb0p4.jpg,"[35, 28, 878]",519176,Gintama 2: Rules Are Made to Be Broken,ja,銀魂2 掟は破るためにこそある,The Yorozuya gang returns to protect the country's shogun when the Shinsengumi police force finds itself in a crisis.,2.3998,/ftVeN9fZC4VqJ3r5k51JRtklRq9.jpg,2018-08-04,False,False,7.1,85,2018
False,/1dxeDO4MNAYey6wPD0IspSTm7tu.jpg,"[14, 28, 12, 35, 878]",433150,The Invisible Boy: Second Generation,it,Il ragazzo invisibile - Seconda generazione,Three years later Michele (The Invisible boy) meets his mother and his twin sister. Both have stories and superpowers but their intentions may not be what Michele thinks.,2.3381,/fwDQyPy9OfsDCJOz0VR2hhsyAA7.jpg,2018-01-04,False,False,6.4,303,2018
False,/sukQ2u7ebigO0AvLJrTbji5Rfmx.jpg,[878],411135,Future World,en,Future World,A young boy searches a future world wasteland for a rumored cure for his dying mother.,2.6415,/kMA0IalnEEa0PaHRUzzjpTu5xXQ.jpg,2018-05-25,False,False,4.294,284,2018
False,/bhzfjgG6EBL7UZp2ElyBx3L4DVA.jpg,"[16, 35, 28, 10751, 878]",484862,Scooby-Doo! & Batman: The Brave and the Bold,en,Scooby-Doo! & Batman: The Brave and the Bold,Scooby-Doo and the Mystery Inc. gang meet up with Batman and other friends to defeat evil villains and save the day.,2.8769,/uImdPC9V5L4uSWA6HV6Q6nxc8Ib.jpg,2018-01-31,False,False,7.2,267,2018
False,/3rIocL2KDm8d2sCVmqDI0IEK2vF.jpg,"[27, 28, 878, 10770]",520466,Lake Placid: Legacy,en,Lake Placid: Legacy,"A group of young explorers discover a secret area hidden from all maps and GPS devices. When they reach the center of the lake, they discover an abandoned facility that houses one of the largest, and deadliest apex-predators known to man.",2.0666,/eBZXrR5zlGdRAXuugtUQo9D4dCp.jpg,2018-05-28,False,False,4.884,176,2018
False,/fwJlEM5MNUUg6dA6Mxruw4guzSW.jpg,"[878, 53, 27]",411143,Tau,en,Tau,"Held captive in a futuristic smart house, a woman hopes to escape by befriending the A.I. program that controls the house.",2.1074,/qqYOlCee3X7cKg05EOQH1htcHmy.jpg,2018-06-29,False,False,6.168,1389,2018
False,/wJprgIXjjpV3iZcMdF76Hyen75e.jpg,"[878, 53, 27, 9648]",457041,Elizabeth Harvest,en,Elizabeth Harvest,"The newly married Elizabeth arrives with her new husband, the scientist Henry, at a magnificent house. He tells her that she can do there anything she pleases, except to enter a certain closed room.",2.3067,/oiwY0z17ZqCPVSK1plvL11rSKuK.jpg,2018-08-10,False,False,6.168,395,2018
False,/uSVXTWbdPPpiecRlGvIZrz9gc8Q.jpg,"[12, 16, 35, 10751, 878]",504997,LEGO DC Comics Super Heroes: The Flash,en,LEGO DC Comics Super Heroes: The Flash,"Reverse-Flash manipulates the Speed Force to put the Flash into a time loop that forces him to relive the same day over and over again—with progressively disastrous results, including losing his powers and being fired by the Justice League. The Flash must find a way to restore time to its original path and finally apprehend his worst enemy before all is lost for the Flash…and the world!",2.6046,/zxz7Qo3GhiHkkFl26tWJ3uIwXiJ.jpg,2018-02-13,False,False,6.854,236,2018
False,/iVAzSEm2ERu080VN2fWQG27NkdR.jpg,"[10751, 16, 28, 35, 878, 10770, 12]",491633,Marvel Rising: Secret Warriors,en,Marvel Rising: Secret Warriors,"When a threat no one could have expected bears down on the Marvel Universe, this ragtag, untrained band of teens have no choice but to rise together and prove to the world that sometimes the difference between a 'hero' and 'misfit' is just in the name.",1.9907,/rXmc4jvDBU04Wp8r5JMWy3HbhB3.jpg,2018-09-30,False,False,6.3,125,2018
False,/1HwTbEN3SFiFWxChqVXddxquKHf.jpg,"[878, 16, 28, 80, 35, 53]",461615,MFKZ,fr,Mutafukaz,"Angelino is just one of thousands of deadbeats living in Dark Meat City. But an otherwise unremarkable scooter accident caused by a beautiful, mysterious stranger is about to transform his life... into a waking nightmare! He starts seeing monstrous forms prowling around all over the city... Is Angelino losing his mind, or could an alien invasion really be happening this quietly...?",2.4269,/oSMIKsznGYzGfdl611kgEJF889.jpg,2018-05-23,False,False,7.1,356,2018
False,/rexivjdRPxvcqMFU1cHY3g1IaZa.jpg,"[53, 878]",470894,At First Light,en,At First Light,"High school senior Alex has an encounter with mysterious lights that appear over her small town. She soon develops dangerous, supernatural abilities, and turns to her childhood friend Sean. The authorities target them and a chase ensues as officials try to discover the truth behind Alex's transformation.",2.2712,/wez4hCV7ltekZwRkQVyiKEZNrm5.jpg,2018-10-05,False,False,5.7,149,2018
False,/5Ou4oQHf2sYdLMGfv3FtXHWO3vL.jpg,"[28, 878, 14]",373449,2.0,ta,2.0,"An ornithologist who commits suicide returns as fifth force to wreack vengeance on mankind for harming birds with mobile phone radiation. The only thing that is standing in his way is 2.0, the upgraded version of Chitti, the robot.",2.0494,/igWtprRqAQfJWoaUkjF0rm1nA66.jpg,2018-11-29,False,False,5.85,180,2018
False,/aZqm4LRVRQMeCJpWmb6RkGSptmR.jpg,"[878, 18]",529483,Encounter,en,Encounter,"A group of friends uncover an otherworldly object in a rural field, which they soon discover holds greater secrets than they could imagine.",2.1982,/bk49kIZWBqdunGvafZRmUudviNr.jpg,2018-12-09,False,False,4.15,70,2018
False,/wL56346BF1eMElIGtqWLiILcfbU.jpg,"[35, 14, 878]",505945,Team Darryl,en,Team Darryl,"Fresh off being unseated as the ruler of Sakaar, the Grandmaster makes his way to Earth to start a new life. It's been over a year since Thor left Australia and Darryl has been struggling to pay his rent. Now Darryl needs a new roommate to help make the monthly payments. Unfortunately for Darryl, the Grandmaster was the only one who answered Darryl's ""Roommate Needed"" ad and with no viable options, the Grandmaster moves in.",1.9968,/edroTAeTEM9ILyAnumA0ALxRSne.jpg,2018-02-20,False,False,6.2,195,2018
False,/96h6c1vikbxyNVsnRCOVy0Xvanp.jpg,"[14, 878, 28]",495601,A Rough Draft,ru,Черновик,"Young Muscovite Kirill is a talented designer of computer games. One day, he is completely erased from the memory of everyone he knew and loved. Kirill learns that he has been chosen for an important and mysterious mission: to become a customs officer between parallel worlds, of which there are dozens in the universe. Will Kirill unravel the mystery of these worlds and who controls them? And is our Earth really just an imaginary ""draft"" -- a parallel world -- which in reality does not exist ...",1.9808,/5fT7yOqXhXoYrrUlz0ftavPrxKp.jpg,2018-05-25,False,False,5.131,168,2018
False,/ipaCW3O6vFcZKfh1FLPeV4vArxI.jpg,"[18, 878, 9648]",451877,I Think We're Alone Now,en,I Think We're Alone Now,"After a catastrophe destroys most of humanity, recluse Del lives in his small, empty town, content with the utopia he has methodically created for himself, until an interloper, young Grace, disrupts his solitude.",2.3816,/9sNsmC8FKgr4hTfnGCS49WY20k4.jpg,2018-09-14,False,False,5.763,459,2018
False,/1PiZCvIXL0AgeRcUuO9CegSvrG6.jpg,"[35, 27, 878]",506775,Nekrotronic,en,Nekrotronic,A man discovers that he is part of a secret sect of magical beings who hunt down and destroy demons in the internet.,2.0895,/zT0G9rNziv26mx5Q2QS1ecwzaQ6.jpg,2018-10-01,False,False,5.847,173,2018
False,/cdDwJcE2fH9wEiuswJ0GkPR6hIG.jpg,"[53, 27, 878]",355193,Devil's Gate,en,Devil's Gate,"Set in the small town of Devil's Gate, North Dakota, the film examines the disappearance of a local woman and her young son. Schull plays an FBI agent who helps the local sheriff search for answers. Partnering with a deputy , they track down the missing woman's husband and find that nothing is as it seems.",1.7414,/t30xW4QF0MlFwiyVokwjZuZDRYe.jpg,2018-07-20,False,False,5.304,257,2018
False,/pdTlRp1JFIGdVeLOXcHQEuJ8rUb.jpg,"[878, 28, 18, 53]",472715,The Last Man,en,The Last Man,"Tov Matheson is a war veteran with PTSD who perceives that the apocalypse is coming. After starting a relationship with a dubious Messiah, he leaves his normal life and begins the construction of a shelter underground, training himself, in an extreme way, at the cost of losing everything and making people believe he is insane. When he also believes it, something extraordinary happens.",2.0198,/bBrr6RwxmfjZyWTEe3AaguEKbMO.jpg,2018-09-06,False,False,5.481,130,2018
False,/Dnk4iSqqNkZBJBPeFdAegTaxD5.jpg,"[28, 878, 16]",503314,Dragon Ball Super: Broly,ja,ドラゴンボール超 ブロリー,"Earth is peaceful following the Tournament of Power. Realizing that the universes still hold many more strong people yet to see, Goku spends all his days training to reach even greater heights. Then one day, Goku and Vegeta are faced by a Saiyan called 'Broly' who they've never seen before. The Saiyans were supposed to have been almost completely wiped out in the destruction of Planet Vegeta, so what's this one doing on Earth? This encounter between the three Saiyans who have followed completely different destinies turns into a stupendous battle, with even Frieza (back from Hell) getting caught up in the mix.",1.9564,/uMEgkyiPznZP5AiMSWAk2jsj5gC.jpg,2018-12-14,False,False,7.949,3217,2018
False,/gCC7IsbkGvkejzjTf4aRYZKe4O3.jpg,"[878, 53, 9648]",448916,2036 Origin Unknown,en,2036 Origin Unknown,"After the first manned mission to Mars ends in a deadly crash, mission controller Mackenzie 'Mack' Wilson assists an artificial intelligence system, A.R.T.I. Their investigation uncovers a mysterious object under the surface of Mars that could change the future of our planet as we know it.",1.846,/v3StJTYXbU3OZ26Vh1PbczqfyCD.jpg,2018-06-08,False,False,4.701,288,2018
False,/z0yrbMYnUIF8kKxnNMSFGAWoG3d.jpg,"[878, 28, 53]",513324,Higher Power,en,Higher Power,"When the Universe decides what it wants, it's pointless to resist. With his family's life at stake, Joseph Steadman finds himself the unwilling test subject of a maniacal scientist in a battle that could save the world – or destroy it.",1.7853,/cplMeBlGdkpDzypHRKZ64BrpLoL.jpg,2018-05-11,False,False,5.146,99,2018
False,/uQt8RztoyGp91XoijDU64T37llO.jpg,"[53, 28, 878, 18]",518502,The Unthinkable,sv,Den blomstertid nu kommer,"Sweden faces a mysterious attack while Alex tries to reunite with his youth love, Anna.",1.7015,/470k2PqJSFTzRCM2XLS35nPKmfA.jpg,2018-06-20,False,False,5.656,196,2018
False,/s30qeq9lamHfP7GH14DiIJdpbpw.jpg,"[878, 28, 27]",504982,The Jurassic Games,en,The Jurassic Games,"In the near future, 10 death row convicts are forced to compete in a virtual reality game that pits them against dinosaurs and each other.",1.8285,/vjcoKGhJ5KR1lNoMsMzHeQ8xefo.jpg,2018-05-21,False,False,4.6,164,2018
False,/dO7PkqEgMwE1Kouu3gGhnmKKiE9.jpg,"[878, 28]",508648,Battle Drone,en,Battle Drone,6 mercenaries are hired by CIA to abduct an heir to a republic and take out an arms dealer in Moscow. They get a followup mission in Chernobyl. Treason awaits them.,1.7957,/dhHpbBemuyEBgcYGrmm7bHpjgdO.jpg,2018-03-01,False,False,5.096,78,2018
False,/Uxsw2VqpHQqdrQGibrQl5VVk0X.jpg,"[18, 27, 878]",419407,Astral,en,Astral,A detached university student faces the consequences of astral projection when he uses it to reconnect with his dead mother.,1.6173,/chqJMjTTpPhQ64vgyXEPYL3luG5.jpg,2018-11-23,False,False,4.792,77,2018
False,/sO1rHbQgxHpwAznH00OxaHnqNUG.jpg,"[28, 878]",347111,Scorched Earth,en,Scorched Earth,"In a post-apocalyptic future, bounty hunter Attica Gage pursues a ruthless outlaw at the head of a dangerous criminal gang.",1.757,/4IHyd8EPufdS4WrACaembE0wY9b.jpg,2018-02-02,False,False,5.22,116,2018
False,/84yj2klZlegwwdE3wFTCW7d6twD.jpg,"[878, 10751, 12]",487509,F.R.E.D.I.,en,F.R.E.D.I.,"An intelligent, lovable robot known as ""F.R.E.D.I."" is stolen from a secret research facility by the project's lead scientist. The robot is found by a 15 year old teenager, James. Soon the two begin to communicate and create a bond in which F.R.E.D.I. learns about teenage life and James learns about some new values.",2.1351,/ayJCf4MI00lO55hOXVaKGVotEDX.jpg,2018-05-03,False,False,5.992,64,2018
False,/4l31EfSNkjhuO0DJvrP7CWMy9x7.jpg,"[878, 27, 9648, 53]",478528,Beyond the Sky,en,Beyond the Sky,A documentary filmmaker travels to a UFO convention in New Mexico where he meets a local artist with a dark secret. As they follow a trail of clues they discover disturbing sightings and question all they believe when they become immersed in the enigmatic culture of the Pueblo Indians.,1.8404,/jACLTZ5Kt54CBEYOx7FSBJd8QFf.jpg,2018-09-21,False,False,5.0,95,2018
False,/s7uq56UJsuijNqP87gWY2SudFVq.jpg,"[28, 14, 878, 12, 10752]",482342,Frontier,ru,Рубеж,Michael's perfect life changes dramatically when he discovers a portal wich allows him to travel in time. He travels back to the World War II to go through the quest of time and find his one and only beloved.,1.484,/iNEyRQo29R0r6vdIu2EJQEEEDF3.jpg,2018-02-22,False,False,5.28,50,2018
False,/grsp3vbmL41wKDRHQPvHxoXJpZW.jpg,"[878, 53, 27, 14, 9648]",513857,The Nanny,en,The Nanny,"Young Noa and Michael are put in the care of their new nanny, Leonor, who Noa suspects is a malicious supernatural being. Dismissed by those around her, Noa works to uncover Leonor's true identity, but soon finds herself with far more than she bargained for.",1.4016,/h324sCgqkyQVre5a4uDfkXhm5c5.jpg,2018-05-01,False,False,5.39,105,2018
