decade,adaptation_rate,total_titles
1950,0.09278350515463918,97
1960,0.1037037037037037,135
1970,0.2,175
1980,0.04871060171919771,349
1990,0.0819277108433735,415
2000,0.06346967559943582,709
2010,0.07241129616220131,1381
2020,0.1066350710900474,844
